dia_de_semana,hora,linea,estacion,trx_totales
False,7,D,SCALABRINI ORTIZ,659.0
False,7,D,TRIBUNALES,218.0
False,7,E,AVENIDA LA PLATA,336.0
False,7,E,BOEDO,257.0
False,7,E,BOLIVAR,291.0
False,7,E,CATALINAS,57.0
False,7,E,CORREO CENTRAL,192.0
False,7,E,EMILIO MITRE,267.0
False,7,E,ENTRE RIOS,308.0
False,7,E,GENERAL BELGRANO,110.0
False,7,E,INDEPENDENCIA.H,309.0
False,7,E,JOSE MARIA MORENO,265.0
False,7,E,JUJUY,215.0
False,7,E,MEDALLA MILAGROSA,147.0
False,7,E,PICHINCHA,182.0
False,7,E,PZA. DE LOS VIRREYES,1279.0
False,7,E,RETIRO E,379.0
False,7,E,SAN JOSE,221.0
False,7,E,URQUIZA,167.0
False,7,E,VARELA,204.0
False,7,H,CASEROS,468.0
False,7,H,CORDOBA,346.0
False,7,H,CORRIENTES,236.0
False,7,H,FACULTAD DE DERECHO,132.0
False,7,H,HOSPITALES,2521.0
False,7,H,HUMBERTO I,492.0
False,7,H,INCLAN,460.0
False,7,H,LAS HERAS,518.0
False,7,H,ONCE,1549.0
False,7,H,PATRICIOS,1244.0
False,7,H,SANTA FE,504.0
False,7,H,VENEZUELA,698.0
False,8,A,ACOYTE,1620.0
False,8,A,ALBERTI,721.0
False,8,A,CARABOBO,1641.0
False,8,A,CASTRO BARROS,1292.0
False,8,A,CONGRESO,1406.0
False,8,A,FLORES,1928.0
False,8,A,LIMA,1012.0
False,8,A,LORIA,1298.0
False,8,A,PASCO,378.0
False,8,A,PERU,532.0
False,8,A,PIEDRAS,436.0
False,8,A,PLAZA DE MAYO,1416.0
False,8,A,PLAZA MISERERE,2580.0
False,8,A,PRIMERA JUNTA,1960.0
False,8,A,PUAN,823.0
False,8,A,RIO DE JANEIRO,1368.0
False,8,A,SAENZ PEÃÂÃÂ±A ,955.0
False,8,A,SAN PEDRITO,4338.0
False,8,B,ANGEL GALLARDO,1815.0
False,8,B,CALLAO.B,1377.0
False,8,B,CARLOS GARDEL,1396.0
False,8,B,CARLOS PELLEGRINI,2187.0
False,8,B,DORREGO,1040.0
False,8,B,ECHEVERRIA,880.0
False,8,B,FEDERICO LACROZE,5609.0
False,8,B,FLORIDA,446.0
False,8,B,LEANDRO N. ALEM,2246.0
False,8,B,LOS INCAS,1423.0
False,8,B,MALABIA,2189.0
False,8,B,MEDRANO,2142.0
False,8,B,PASTEUR,893.0
False,8,B,PUEYRREDON,1331.0
False,8,B,ROSAS,4757.0
False,8,B,TRONADOR,522.0
False,8,B,URUGUAY,735.0
False,8,C,AVENIDA DE MAYO,630.0
False,8,C,CONSTITUCION,22434.0
False,8,C,DIAGONAL NORTE,241.0
False,8,C,GENERAL SAN MARTIN,462.0
False,8,C,INDEPENDENCIA,856.0
False,8,C,LAVALLE,659.0
False,8,C,MARIANO MORENO,426.0
False,8,C,RETIRO,7942.0
False,8,C,SAN JUAN,869.0
False,8,D,9 DE JULIO,455.0
False,8,D,AGÃÂÃÂ¼ERO,1445.0
False,8,D,BULNES,1631.0
False,8,D,CALLAO,1013.0
False,8,D,CATEDRAL,1026.0
False,8,D,CONGRESO DE TUCUMAN,4278.0
False,8,D,FACULTAD DE MEDICINA,1274.0
False,8,D,JOSE HERNANDEZ,1329.0
False,8,D,JURAMENTO,1753.0
False,8,D,MINISTRO CARRANZA,1559.0
False,8,D,OLLEROS,1296.0
False,8,D,PALERMO,2866.0
False,8,D,PLAZA ITALIA,1241.0
False,8,D,PUEYRREDON.D,817.0
False,8,D,SCALABRINI ORTIZ,1555.0
False,8,D,TRIBUNALES,691.0
False,8,E,AVENIDA LA PLATA,784.0
False,8,E,BOEDO,717.0
False,8,E,BOLIVAR,790.0
False,8,E,CATALINAS,135.0
False,8,E,CORREO CENTRAL,313.0
False,8,E,EMILIO MITRE,551.0
False,8,E,ENTRE RIOS,670.0
False,8,E,GENERAL BELGRANO,261.0
False,8,E,INDEPENDENCIA.H,641.0
False,8,E,JOSE MARIA MORENO,460.0
False,8,E,JUJUY,602.0
False,8,E,MEDALLA MILAGROSA,278.0
False,8,E,PICHINCHA,374.0
False,8,E,PZA. DE LOS VIRREYES,1882.0
False,8,E,RETIRO E,617.0
False,8,E,SAN JOSE,487.0
False,8,E,URQUIZA,445.0
False,8,E,VARELA,445.0
False,8,H,CASEROS,1031.0
False,8,H,CORDOBA,801.0
False,8,H,CORRIENTES,581.0
False,8,H,FACULTAD DE DERECHO,241.0
False,8,H,HOSPITALES,3754.0
False,8,H,HUMBERTO I,1113.0
False,8,H,INCLAN,1184.0
False,8,H,LAS HERAS,1113.0
False,8,H,ONCE,3065.0
False,8,H,PATRICIOS,2256.0
False,8,H,SANTA FE,1159.0
False,8,H,VENEZUELA,1613.0
False,9,A,ACOYTE,1987.0
False,9,A,ALBERTI,850.0
False,9,A,CARABOBO,1799.0
False,9,A,CASTRO BARROS,1786.0
False,9,A,CONGRESO,1912.0
False,9,A,FLORES,2114.0
False,9,A,LIMA,1301.0
False,9,A,LORIA,1553.0
False,9,A,PASCO,479.0
False,9,A,PERU,588.0
False,9,A,PIEDRAS,551.0
False,9,A,PLAZA DE MAYO,1380.0
False,9,A,PLAZA MISERERE,2560.0
False,9,A,PRIMERA JUNTA,2596.0
False,9,A,PUAN,1156.0
False,9,A,RIO DE JANEIRO,1863.0
False,9,A,SAENZ PEÃÂÃÂ±A ,1229.0
False,9,A,SAN PEDRITO,4894.0
False,9,B,ANGEL GALLARDO,2466.0
False,9,B,CALLAO.B,1790.0
False,9,B,CARLOS GARDEL,1849.0
False,9,B,CARLOS PELLEGRINI,2668.0
False,9,B,DORREGO,1412.0
False,9,B,ECHEVERRIA,1062.0
False,9,B,FEDERICO LACROZE,6151.0
False,9,B,FLORIDA,674.0
False,9,B,LEANDRO N. ALEM,2393.0
False,9,B,LOS INCAS,1732.0
False,9,B,MALABIA,2851.0
False,9,B,MEDRANO,2617.0
False,9,B,PASTEUR,1394.0
False,9,B,PUEYRREDON,1666.0
False,9,B,ROSAS,5475.0
False,9,B,TRONADOR,762.0
False,9,B,URUGUAY,1067.0
False,9,C,AVENIDA DE MAYO,735.0
False,9,C,CONSTITUCION,21832.0
False,9,C,DIAGONAL NORTE,322.0
False,9,C,GENERAL SAN MARTIN,627.0
False,9,C,INDEPENDENCIA,1120.0
False,9,C,LAVALLE,670.0
False,9,C,MARIANO MORENO,542.0
False,9,C,RETIRO,7718.0
False,9,C,SAN JUAN,1014.0
False,9,D,9 DE JULIO,519.0
False,9,D,AGÃÂÃÂ¼ERO,1823.0
False,9,D,BULNES,1969.0
False,9,D,CALLAO,1488.0
False,9,D,CATEDRAL,1268.0
False,9,D,CONGRESO DE TUCUMAN,4996.0
False,9,D,FACULTAD DE MEDICINA,1701.0
False,9,D,JOSE HERNANDEZ,1586.0
False,9,D,JURAMENTO,2086.0
False,9,D,MINISTRO CARRANZA,2122.0
False,9,D,OLLEROS,1720.0
False,9,D,PALERMO,3509.0
False,9,D,PLAZA ITALIA,1538.0
False,9,D,PUEYRREDON.D,1152.0
False,9,D,SCALABRINI ORTIZ,1888.0
False,9,D,TRIBUNALES,804.0
False,9,E,AVENIDA LA PLATA,960.0
False,9,E,BOEDO,904.0
False,9,E,BOLIVAR,667.0
False,9,E,CATALINAS,148.0
False,9,E,CORREO CENTRAL,352.0
False,9,E,EMILIO MITRE,666.0
False,9,E,ENTRE RIOS,779.0
False,9,E,GENERAL BELGRANO,323.0
False,9,E,INDEPENDENCIA.H,881.0
False,9,E,JOSE MARIA MORENO,586.0
False,9,E,JUJUY,792.0
False,9,E,MEDALLA MILAGROSA,295.0
False,9,E,PICHINCHA,467.0
False,9,E,PZA. DE LOS VIRREYES,1786.0
False,9,E,RETIRO E,552.0
False,9,E,SAN JOSE,541.0
False,9,E,URQUIZA,595.0
False,9,E,VARELA,420.0
False,9,H,CASEROS,1102.0
False,9,H,CORDOBA,1001.0
False,9,H,CORRIENTES,833.0
False,9,H,FACULTAD DE DERECHO,246.0
False,9,H,HOSPITALES,3427.0
False,9,H,HUMBERTO I,1521.0
False,9,H,INCLAN,1476.0
False,9,H,LAS HERAS,1490.0
False,9,H,ONCE,3252.0
False,9,H,PATRICIOS,2189.0
False,9,H,SANTA FE,1436.0
False,9,H,VENEZUELA,2013.0
False,10,A,ACOYTE,2482.0
False,10,A,ALBERTI,1069.0
False,10,A,CARABOBO,2105.0
False,10,A,CASTRO BARROS,2187.0
False,10,A,CONGRESO,2289.0
False,10,A,FLORES,2290.0
False,10,A,LIMA,1478.0
False,10,A,LORIA,1910.0
False,10,A,PASCO,657.0
False,10,A,PERU,834.0
False,10,A,PIEDRAS,652.0
False,10,A,PLAZA DE MAYO,1309.0
False,10,A,PLAZA MISERERE,2898.0
False,10,A,PRIMERA JUNTA,2544.0
False,10,A,PUAN,1342.0
False,10,A,RIO DE JANEIRO,2296.0
False,10,A,SAENZ PEÃÂÃÂ±A ,1351.0
False,10,A,SAN PEDRITO,5259.0
False,10,B,ANGEL GALLARDO,3097.0
False,10,B,CALLAO.B,2400.0
False,10,B,CARLOS GARDEL,2458.0
False,10,B,CARLOS PELLEGRINI,3378.0
False,10,B,DORREGO,1615.0
False,10,B,ECHEVERRIA,1129.0
False,10,B,FEDERICO LACROZE,6152.0
False,10,B,FLORIDA,1078.0
False,10,B,LEANDRO N. ALEM,2141.0
False,10,B,LOS INCAS,1792.0
False,10,B,MALABIA,3250.0
False,10,B,MEDRANO,3525.0
False,10,B,PASTEUR,2011.0
False,10,B,PUEYRREDON,2241.0
False,10,B,ROSAS,5251.0
False,10,B,TRONADOR,1009.0
False,10,B,URUGUAY,1563.0
False,10,C,AVENIDA DE MAYO,912.0
False,10,C,CONSTITUCION,19434.0
False,10,C,DIAGONAL NORTE,427.0
False,10,C,GENERAL SAN MARTIN,864.0
False,10,C,INDEPENDENCIA,1274.0
False,10,C,LAVALLE,882.0
False,10,C,MARIANO MORENO,716.0
False,10,C,RETIRO,7252.0
False,10,C,SAN JUAN,1120.0
False,10,D,9 DE JULIO,672.0
False,10,D,AGÃÂÃÂ¼ERO,2252.0
False,10,D,BULNES,2710.0
False,10,D,CALLAO,1875.0
False,10,D,CATEDRAL,1425.0
False,10,D,CONGRESO DE TUCUMAN,5362.0
False,10,D,FACULTAD DE MEDICINA,2238.0
False,10,D,JOSE HERNANDEZ,1816.0
False,10,D,JURAMENTO,2642.0
False,10,D,MINISTRO CARRANZA,2308.0
False,10,D,OLLEROS,1973.0
False,10,D,PALERMO,3462.0
False,10,D,PLAZA ITALIA,2140.0
False,10,D,PUEYRREDON.D,1461.0
False,10,D,SCALABRINI ORTIZ,2400.0
False,10,D,TRIBUNALES,1257.0
False,10,E,AVENIDA LA PLATA,1109.0
False,10,E,BOEDO,1085.0
False,10,E,BOLIVAR,782.0
False,10,E,CATALINAS,199.0
False,10,E,CORREO CENTRAL,444.0
False,10,E,EMILIO MITRE,702.0
False,10,E,ENTRE RIOS,980.0
False,10,E,GENERAL BELGRANO,398.0
False,10,E,INDEPENDENCIA.H,992.0
False,10,E,JOSE MARIA MORENO,650.0
False,10,E,JUJUY,893.0
False,10,E,MEDALLA MILAGROSA,312.0
False,10,E,PICHINCHA,608.0
False,10,E,PZA. DE LOS VIRREYES,1903.0
False,10,E,RETIRO E,742.0
False,10,E,SAN JOSE,597.0
False,10,E,URQUIZA,657.0
False,10,E,VARELA,518.0
False,10,H,CASEROS,1226.0
False,10,H,CORDOBA,1177.0
False,10,H,CORRIENTES,1059.0
False,10,H,FACULTAD DE DERECHO,436.0
False,10,H,HOSPITALES,2794.0
False,10,H,HUMBERTO I,1570.0
False,10,H,INCLAN,1369.0
False,10,H,LAS HERAS,1885.0
False,10,H,ONCE,3621.0
False,10,H,PATRICIOS,2257.0
